Recording,First_label
0segment_data1,0
0segment_data2,0
0segment_data3,0
0segment_data4,0
0segment_data5,0
0segment_data6,0
0segment_data7,0
0segment_data8,0
0segment_data9,0
0segment_data10,0
0segment_data11,0
0segment_data12,0
0segment_data13,0
0segment_data14,0
0segment_data15,0
0segment_data16,0
0segment_data17,0
0segment_data18,0
0segment_data19,0
0segment_data20,0
0segment_data21,0
0segment_data22,0
0segment_data23,0
0segment_data24,0
0segment_data25,0
0segment_data26,0
0segment_data27,0
0segment_data28,0
0segment_data29,0
0segment_data30,0
0segment_data31,0
0segment_data32,0
0segment_data33,0
0segment_data34,0
0segment_data35,0
0segment_data36,0
0segment_data37,0
0segment_data38,0
0segment_data39,0
0segment_data40,0
0segment_data41,0
0segment_data42,0
0segment_data43,0
0segment_data44,0
0segment_data45,0
0segment_data46,0
0segment_data47,0
0segment_data48,0
0segment_data49,0
0segment_data50,0
0segment_data51,0
0segment_data52,0
0segment_data53,0
0segment_data54,0
0segment_data55,0
0segment_data56,0
0segment_data57,0
0segment_data58,0
0segment_data59,0
0segment_data60,0
0segment_data61,0
0segment_data62,0
0segment_data63,0
0segment_data64,0
0segment_data65,0
0segment_data66,0
0segment_data67,0
0segment_data68,0
0segment_data69,0
0segment_data70,0
0segment_data71,0
0segment_data72,0
0segment_data73,0
0segment_data74,0
0segment_data75,0
0segment_data76,0
0segment_data77,0
0segment_data78,0
0segment_data79,0
0segment_data80,0
0segment_data81,0
0segment_data82,0
0segment_data83,0
0segment_data84,0
0segment_data85,0
0segment_data86,0
0segment_data87,0
0segment_data88,0
0segment_data89,0
0segment_data90,0
0segment_data91,0
0segment_data92,0
0segment_data93,0
0segment_data94,0
0segment_data95,0
0segment_data96,0
0segment_data97,0
0segment_data98,0
0segment_data99,0
0segment_data100,0
0segment_data101,0
0segment_data102,0
0segment_data103,0
0segment_data104,0
0segment_data105,0
0segment_data106,0
0segment_data107,0
0segment_data108,0
0segment_data109,0
0segment_data110,0
0segment_data111,0
0segment_data112,0
0segment_data113,0
0segment_data114,0
0segment_data115,0
0segment_data116,0
0segment_data117,0
0segment_data118,0
0segment_data119,0
0segment_data120,0
0segment_data121,0
0segment_data122,0
0segment_data123,0
0segment_data124,0
0segment_data125,0
0segment_data126,0
0segment_data127,0
0segment_data128,0
0segment_data129,0
0segment_data130,0
0segment_data131,0
0segment_data132,0
0segment_data133,0
0segment_data134,0
0segment_data135,0
0segment_data136,0
0segment_data137,0
0segment_data138,0
0segment_data139,0
0segment_data140,0
0segment_data141,0
0segment_data142,0
0segment_data143,0
0segment_data144,0
0segment_data145,0
0segment_data146,0
0segment_data147,0
0segment_data148,0
0segment_data149,0
0segment_data150,0
0segment_data151,0
0segment_data152,0
0segment_data153,0
0segment_data154,0
0segment_data155,0
0segment_data156,0
0segment_data157,0
0segment_data158,0
0segment_data159,0
0segment_data160,0
0segment_data161,0
0segment_data162,0
0segment_data163,0
0segment_data164,0
0segment_data165,0
0segment_data166,0
0segment_data167,0
0segment_data168,0
0segment_data169,0
0segment_data170,0
0segment_data171,0
0segment_data172,0
0segment_data173,0
0segment_data174,0
0segment_data175,0
0segment_data176,0
0segment_data177,0
0segment_data178,0
0segment_data179,0
0segment_data180,0
0segment_data181,0
0segment_data182,0
0segment_data183,0
0segment_data184,0
0segment_data185,0
0segment_data186,0
0segment_data187,0
0segment_data188,0
0segment_data189,0
0segment_data190,0
0segment_data191,0
0segment_data192,0
0segment_data193,0
0segment_data194,0
0segment_data195,0
0segment_data196,0
0segment_data197,0
0segment_data198,0
0segment_data199,0
0segment_data200,0
0segment_data201,0
0segment_data202,0
0segment_data203,0
0segment_data204,0
0segment_data205,0
0segment_data206,0
0segment_data207,0
0segment_data208,0
0segment_data209,0
0segment_data210,0
0segment_data211,0
0segment_data212,0
0segment_data213,0
0segment_data214,0
0segment_data215,0
0segment_data216,0
0segment_data217,0
0segment_data218,0
0segment_data219,0
0segment_data220,0
0segment_data221,0
0segment_data222,0
0segment_data223,0
0segment_data224,0
0segment_data225,0
0segment_data226,0
0segment_data227,0
0segment_data228,0
0segment_data229,0
0segment_data230,0
0segment_data231,0
0segment_data232,0
0segment_data233,0
0segment_data234,0
0segment_data235,0
0segment_data236,0
0segment_data237,0
0segment_data238,0
0segment_data239,0
0segment_data240,0
0segment_data241,0
0segment_data242,0
0segment_data243,0
0segment_data244,0
0segment_data245,0
0segment_data246,0
0segment_data247,0
0segment_data248,0
0segment_data249,0
0segment_data250,0
0segment_data251,0
0segment_data252,0
0segment_data253,0
0segment_data254,0
0segment_data255,0
0segment_data256,0
0segment_data257,0
0segment_data258,0
0segment_data259,0
0segment_data260,0
0segment_data261,0
0segment_data262,0
0segment_data263,0
0segment_data264,0
0segment_data265,0
0segment_data266,0
0segment_data267,0
0segment_data268,0
0segment_data269,0
0segment_data270,0
0segment_data271,0
0segment_data272,0
0segment_data273,0
0segment_data274,0
0segment_data275,0
0segment_data276,0
0segment_data277,0
0segment_data278,0
0segment_data279,0
0segment_data280,0
0segment_data281,0
0segment_data282,0
0segment_data283,0
0segment_data284,0
0segment_data285,0
0segment_data286,0
0segment_data287,0
0segment_data288,0
0segment_data289,0
0segment_data290,0
0segment_data291,0
0segment_data292,0
0segment_data293,0
0segment_data294,0
0segment_data295,0
0segment_data296,0
0segment_data297,0
0segment_data298,0
0segment_data299,0
0segment_data300,0
0segment_data301,0
0segment_data302,0
0segment_data303,0
0segment_data304,0
0segment_data305,0
0segment_data306,0
0segment_data307,0
0segment_data308,0
0segment_data309,0
0segment_data310,0
0segment_data311,0
0segment_data312,0
0segment_data313,0
0segment_data314,0
0segment_data315,0
0segment_data316,0
0segment_data317,0
0segment_data318,0
0segment_data319,0
0segment_data320,0
0segment_data321,0
0segment_data322,0
0segment_data323,0
0segment_data324,0
0segment_data325,0
0segment_data326,0
0segment_data327,0
0segment_data328,0
0segment_data329,0
0segment_data330,0
0segment_data331,0
0segment_data332,0
0segment_data333,0
0segment_data334,0
0segment_data335,0
0segment_data336,0
0segment_data337,0
0segment_data338,0
0segment_data339,0
0segment_data340,0
0segment_data341,0
0segment_data342,0
0segment_data343,0
0segment_data344,0
0segment_data345,0
0segment_data346,0
0segment_data347,0
0segment_data348,0
0segment_data349,0
0segment_data350,0
0segment_data351,0
0segment_data352,0
0segment_data353,0
0segment_data354,0
0segment_data355,0
0segment_data356,0
0segment_data357,0
0segment_data358,0
0segment_data359,0
0segment_data360,0
0segment_data361,0
0segment_data362,0
0segment_data363,0
0segment_data364,0
0segment_data365,0
0segment_data366,0
0segment_data367,0
0segment_data368,0
0segment_data369,0
0segment_data370,0
0segment_data371,0
0segment_data372,0
0segment_data373,0
0segment_data374,0
0segment_data375,0
0segment_data376,0
0segment_data377,0
0segment_data378,0
0segment_data379,0
0segment_data380,0
0segment_data381,0
0segment_data382,0
0segment_data383,0
0segment_data384,0
0segment_data385,0
0segment_data386,0
0segment_data387,0
0segment_data388,0
0segment_data389,0
0segment_data390,0
0segment_data391,0
0segment_data392,0
0segment_data393,0
0segment_data394,0
0segment_data395,0
0segment_data396,0
0segment_data397,0
0segment_data398,0
0segment_data399,0
0segment_data400,0
0segment_data401,0
0segment_data402,0
0segment_data403,0
0segment_data404,0
0segment_data405,0
0segment_data406,0
0segment_data407,0
0segment_data408,0
0segment_data409,0
0segment_data410,0
0segment_data411,0
0segment_data412,0
0segment_data413,0
0segment_data414,0
0segment_data415,0
0segment_data416,0
0segment_data417,0
0segment_data418,0
0segment_data419,0
0segment_data420,0
0segment_data421,0
0segment_data422,0
0segment_data423,0
0segment_data424,0
0segment_data425,0
0segment_data426,0
0segment_data427,0
0segment_data428,0
0segment_data429,0
0segment_data430,0
0segment_data431,0
0segment_data432,0
0segment_data433,0
0segment_data434,0
0segment_data435,0
0segment_data436,0
0segment_data437,0
0segment_data438,0
0segment_data439,0
0segment_data440,0
0segment_data441,0
0segment_data442,0
0segment_data443,0
0segment_data444,0
0segment_data445,0
0segment_data446,0
0segment_data447,0
0segment_data448,0
0segment_data449,0
0segment_data450,0
0segment_data451,0
0segment_data452,0
0segment_data453,0
0segment_data454,0
0segment_data455,0
0segment_data456,0
0segment_data457,0
0segment_data458,0
0segment_data459,0
0segment_data460,0
0segment_data461,0
0segment_data462,0
0segment_data463,0
0segment_data464,0
0segment_data465,0
0segment_data466,0
0segment_data467,0
0segment_data468,0
0segment_data469,0
0segment_data470,0
0segment_data471,0
0segment_data472,0
0segment_data473,0
0segment_data474,0
0segment_data475,0
0segment_data476,0
0segment_data477,0
0segment_data478,0
0segment_data479,0
0segment_data480,0
0segment_data481,0
0segment_data482,0
0segment_data483,0
0segment_data484,0
0segment_data485,0
0segment_data486,0
0segment_data487,0
0segment_data488,0
