level,imu,task
1,'0segment_data1.mat',0
1,'0segment_data2.mat',0
1,'0segment_data3.mat',0
1,'0segment_data4.mat',0
1,'0segment_data5.mat',0
1,'0segment_data6.mat',0
1,'0segment_data7.mat',0
1,'0segment_data8.mat',0
1,'0segment_data9.mat',0
1,'0segment_data10.mat',0
1,'0segment_data11.mat',0
1,'0segment_data12.mat',0
1,'0segment_data13.mat',0
1,'0segment_data14.mat',0
1,'0segment_data15.mat',0
1,'0segment_data16.mat',0
1,'0segment_data17.mat',0
1,'0segment_data18.mat',0
1,'0segment_data19.mat',0
1,'0segment_data20.mat',0
1,'0segment_data21.mat',0
1,'0segment_data22.mat',0
1,'0segment_data23.mat',0
1,'0segment_data24.mat',0
1,'0segment_data25.mat',0
1,'0segment_data26.mat',0
1,'0segment_data27.mat',0
1,'0segment_data28.mat',0
1,'0segment_data29.mat',0
1,'0segment_data30.mat',0
1,'0segment_data31.mat',0
1,'0segment_data32.mat',0
1,'0segment_data33.mat',0
1,'0segment_data34.mat',0
1,'0segment_data35.mat',0
1,'0segment_data36.mat',0
1,'0segment_data37.mat',0
1,'0segment_data38.mat',0
1,'0segment_data39.mat',0
1,'0segment_data40.mat',0
1,'0segment_data41.mat',0
1,'0segment_data42.mat',0
1,'0segment_data43.mat',0
1,'0segment_data44.mat',0
1,'0segment_data45.mat',0
1,'0segment_data46.mat',0
1,'0segment_data47.mat',0
1,'0segment_data48.mat',0
1,'0segment_data49.mat',0
1,'0segment_data50.mat',0
1,'0segment_data51.mat',0
1,'0segment_data52.mat',0
1,'0segment_data53.mat',0
1,'0segment_data54.mat',0
1,'0segment_data55.mat',0
1,'0segment_data56.mat',0
1,'0segment_data57.mat',0
1,'0segment_data58.mat',0
1,'0segment_data59.mat',0
1,'0segment_data60.mat',0
1,'0segment_data61.mat',0
1,'0segment_data62.mat',0
1,'0segment_data63.mat',0
1,'0segment_data64.mat',0
1,'0segment_data65.mat',0
1,'0segment_data66.mat',0
1,'0segment_data67.mat',0
1,'0segment_data68.mat',0
